,predict
1552,0.16844818
1553,0.2295373
1554,0.32228905
1555,0.41953456
1556,0.5054553
1557,0.46379626
1558,0.545226
1559,0.4454552
1560,0.4129027
1561,0.3043936
1562,0.24189861
1563,0.16955432
1564,0.16057053
1565,0.14829461
1566,0.114885285
1567,0.10648775
1568,0.08356795
1569,0.07126455
1570,0.071977615
1571,0.09620951
1572,0.092028916
1573,0.16023315
1574,0.18367283
1575,0.14765622
1576,0.12992916
1577,0.23893258
1578,0.38484132
1579,0.46627206
1580,0.5021702
1581,0.42719656
1582,0.4710806
1583,0.43148702
1584,0.41174012
1585,0.3517747
1586,0.2821284
1587,0.21271291
1588,0.19594273
1589,0.14471959
1590,0.11598727
1591,0.11154684
1592,0.07253047
1593,0.07308113
1594,0.06256773
1595,0.06923585
1596,0.11684697
1597,0.18250911
1598,0.15032329
1599,0.13332732
1600,0.1965688
1601,0.23755589
1602,0.35198253
1603,0.49464065
1604,0.51304233
1605,0.5511676
1606,0.5733769
1607,0.44027483
1608,0.3017283
1609,0.21569139
1610,0.16049162
1611,0.13926254
1612,0.12737103
1613,0.10992501
1614,0.088637754
1615,0.06991176
1616,0.07219236
1617,0.06492957
1618,0.059619665
1619,0.11840981
1620,0.21840379
1621,0.235718
1622,0.22002724
1623,0.16288783
1624,0.1768235
1625,0.20540029
1626,0.34906903
1627,0.47927105
1628,0.5501506
1629,0.5395583
1630,0.58261365
1631,0.5569386
1632,0.3764756
1633,0.27498916
1634,0.22161707
1635,0.1591497
1636,0.12936565
1637,0.11909497
1638,0.10517578
1639,0.08754547
1640,0.06473249
1641,0.0639258
1642,0.064280644
1643,0.07161095
1644,0.11429509
1645,0.23251268
1646,0.19388008
1647,0.1275344
1648,0.18273455
1649,0.26598275
1650,0.3740866
1651,0.47804117
1652,0.46962428
1653,0.5012323
1654,0.54416716
1655,0.55300844
1656,0.46326268
1657,0.37129724
1658,0.32519126
1659,0.2469556
1660,0.18222094
1661,0.15873697
1662,0.1311581
1663,0.11126741
1664,0.106487714
1665,0.09510626
1666,0.08624381
1667,0.07533613
